stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
205,,Mojkovačka (A),,42.43718004,19.27763164,,,,,,
206,,Blok 5 - benz. pumpa (A),,42.447434,19.245639,,,,,,
207,,Elastik (B),,42.45217934,19.22005835,,,,,,
209,,Orjenska II (B),,42.45607,19.292459,,,,,,
213,,Vojvode Ilije Plamenca I (B),,42.430762,19.243959,,,,,,
214,,Goce Delčeva (A),,42.442362,19.282006,,,,,,
215,,Dalmatinska III (A),,42.450488,19.241362,,,,,,
216,,Bulevar Svetog Petra Cetinjskog I (B),,42.441624,19.252771,,,,,,
217,,Milana Raičkovića I (A),,42.453967,19.228084,,,,,,
218,,Partizanski put III (B),,42.457902,19.199985,,,,,,
220,,Španskih boraca II (B),,42.4292029,19.29808628,,,,,,
223,,Mala pijaca (A),,42.445825,19.24983,,,,,,
224,,Soliteri Zabjelo (B),,42.423937,19.251939,,,,,,
225,,Milana Raičkovića IV (B),,42.455275,19.220225,,,,,,
226,,Tološko groblje (B),,42.45404326,19.2159462,,,,,,
227,,Trg Božane Vučinić,,42.43649908,19.26256835,,,,,,
228,,Tržni centar (B),,42.43144076,19.27918063,,,,,,
229,,27. marta II (B),,42.42357135,19.25549805,,,,,,
230,,Cijevna (A),,42.398997,19.298512,,,,,,
234,,Milana Raičkovića II (A),,42.454336,19.226425,,,,,,
235,,Skopska II (B),,42.443457,19.278355,,,,,,
236,,Soliteri I (B),,42.449459,19.25888,,,,,,
237,,Ul. Oktobarske revolucije I (B),,42.43419723,19.26511157,,,,,,
238,,Blok 5 - zadnja zgrada (A),,42.450118,19.240775,,,,,,
239,,Ul. Braće Ribar I (A),,42.438466,19.286476,,,,,,
240,,Elektrodistribucija (B),,42.440319,19.254295,,,,,,
242,,Nikšićki put I (B),,42.436628,19.227035,,,,,,
243,,Ul. Nikole Tesle III (A),,42.460561,19.275598,,,,,,
244,,Pasarela (B),,42.461827,19.293246,,,,,,
246,,V Proleterske brigade (A),,42.437458,19.269349,,,,,,
247,,Mitra Bakića (B),,42.43211227,19.26695645,,,,,,
253,,Kamenica (A),,42.390125,19.116508,,,,,,
254,,Orjenska V (B),,42.46085455,19.29875672,,,,,,
256,,Limenka (A),,42.46385508,19.28435422,,,,,,
260,,Progonovići,,42.430511,19.069092,,,,,,
261,,Vojvođanska I,,42.43453774,19.21331232,,,,,,
262,,Orjenska V (A),,42.460692,19.298543,,,,,,
